east,service,fun,drink,closely,answer,wealth,anything,root,ate
mood,duty,copper,unit,slave,quite,nothing,bare,allow,guide
were,classroom,phrase,forth,plus,art,agree,half,labor,select
solid,here,pressure,nice,flat,particularly,dangerous,school,principle,upon
page,reader,third,jungle,dollar,fix,of,mountain,page,welcome
degree,modern,copy,well,no,fastened,sure,oil,maybe,event
cup,think,evening,plates,tip,studied,opinion,pole,speed,place
difficult,stream,court,sure,figure,uncle,coming,feet,speed,volume
dig,differ,wish,lake,front,shadow,cost,helpful,extra,unknown
are,within,available,son,unless,brain,run,army,history,nine
me,about,likely,single,spring,neighbor,struck,system,somewhere,wing
after,laugh,fighting,mission,court,former,stronger,thread,baseball,sea
inside,minerals,arm,article,dish,wrong,fact,range,experience,mouse
research,metal,door,together,dream,everything,film,simplest,weigh,four
wonderful,account,sunlight,population,sea,do,bottom,stage,trap,sunlight